video_id,comment_id,text,author,like_count,published_at,channel_id,channel_name
nXwpiPybr0Q,UgwQB7VMaS4ypfvvKod4AaABAg,Yang WAS right and he should have been the nominee over Biden,@DadIsntMad,193.0,2020-04-25T15:17:33Z,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
nXwpiPybr0Q,UgzC2RxmVo83ONp-4iJ4AaABAg,Yang Gang forever 💗,@k_davis3752,113.0,2020-04-25T14:55:06Z,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
nXwpiPybr0Q,UgzMmg63aRIpUr19Zsl4AaABAg,I’m bangin Yang Gang fo life,@luisgonzalez1637,71.0,2020-04-25T14:48:18Z,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
nXwpiPybr0Q,UgxwDnoc2Qif1zgXte54AaABAg,I love eat cornbread.,@rustyshell2,8.0,2020-04-25T14:44:14Z,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
nXwpiPybr0Q,Ugz6kSRVMQRkMfSJZlp4AaABAg,Why should we ever worry about the necessities when automation can provide us with them?,@Thedeepseanomad,4.0,2020-04-25T14:43:42Z,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
nXwpiPybr0Q,Ugw0FFDe1DG--i3noQ14AaABAg,1 minute ago! Whats up early squad?,@kugelblitz8086,20.0,2020-04-25T14:28:25Z,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
nXwpiPybr0Q,Ugwp9poon3Quf-jNalh4AaABAg,Jack knows that&#39;s up. Even if we get through this with new jobs to replace the old ones millions will suffer and be left behind by the transition.,@josephchagan9015,46.0,2020-04-25T14:27:19Z,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
60KJz1BVTyU,UgxLD5XROz_KXSdjaG54AaABAg,"I really enjoyed this conversation with Jack. Here&#39;s the outline:<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU"">0:00</a> - Introduction<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=168"">2:48</a> - Engineering at scale<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=516"">8:36</a> - Increasing access to the economy<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=789"">13:09</a> - Machine learning at Square<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=918"">15:18</a> - Future of the digital economy<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=1037"">17:17</a> - Cryptocurrency<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=1531"">25:31</a> - Artificial intelligence<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=1669"">27:49</a> - Her<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=1752"">29:12</a> - Exchange with Elon Musk about bots<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=1925"">32:05</a> - Concerns about artificial intelligence<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=2140"">35:40</a> - Andrew Yang<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=2457"">40:57</a> - Eating one meal a day<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=2749"">45:49</a> - Mortality<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=2870"">47:50</a> - Meaning of life<br><a href=""https://www.youtube.com/watch?v=60KJz1BVTyU&amp;t=2939"">48:59</a> - Simulation",@lexfridman,610.0,2020-04-24T20:36:49Z,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
60KJz1BVTyU,UgznQ6ymJJen9729YN14AaABAg,Ratatouille getting a shoutout was not expected.,@sagesam1951,0.0,2024-02-22T15:30:43Z,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
60KJz1BVTyU,Ugw_q3dlpbBUZe5tNpp4AaABAg,Bitcoin is sound money for sovereign individuals,@GrumpyOldGuy777,0.0,2023-12-07T03:17:24Z,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
